YEAR,MONTH,JTAR,UR
2021,7,1.14,2.8 
2021,8,1.14,2.8 
2021,9,1.15,2.8 
2021,10,1.15,2.7 
2021,11,1.16,2.7 
2021,12,1.17,2.5 
2022,1,1.19,2.7 
2022,2,1.21,2.6 
2022,3,1.22,2.6 
2022,4,1.24,2.7 
2022,5,1.26,2.8 
2022,6,1.27,2.7 
2022,7,1.29,2.5 
2022,8,1.31,2.6 
2022,9,1.33,2.7 
2022,10,1.34,2.6 
2022,11,1.35,2.4 
2022,12,1.35,2.3 
2023,1,1.35,2.4 
2023,2,1.33,2.5 
2023,3,1.32,2.8 
2023,4,1.32,2.7 
2023,5,1.31,2.7 
2023,6,1.31,2.6 
2023,7,1.3,2.6 
2023,8,1.3,2.7 
2023,9,1.3,2.6 
2023,10,1.3,2.5 
2023,11,1.28,2.4 
2023,12,1.27,2.3 
2024,1,1.26,2.4 
2024,2,1.26,2.6 
2024,3,1.26,2.7 
2024,4,1.25,2.8 
2024,5,1.24,2.8 
2024,6,1.24,2.6 
2024,7,1.24,2.7 
2024,8,1.24,2.5 
2024,9,1.25,2.5 
2024,10,1.26,2.4 
2024,11,1.26,2.4 
2024,12,1.25,2.2 
2025,1,1.25,2.3 
2025,2,1.25,2.4 
2025,3,1.25,2.6 
2025,4,1.25,2.7 
2025,5,1.23,2.6 
2025,6,1.22,2.5 
2025,7,1.22,2.4 
2025,8,1.21,2.6 
2025,9,1.2,2.6 
2025,10,1.19,2.6 
2025,11,1.19,2.4 
2025,12,1.2,2.4 
