年度	リーグ	順位	選手	チーム	打率	試合	打席	打数	得点	安打	二塁打	三塁打	本塁打	塁打	打点	盗塁	盗塁刺	犠打	犠飛	四球	故意四	死球	三振	併殺打	長打率	出塁率
2022	P	2	吉田　正尚	(オ)	0.335	119	508	412	56	138	28	1	21	231	88	4	0	0	7	80	18	9	41	11	0.561	0.447
2022	P	3	島内　宏明	(楽)	0.298	142	613	541	59	161	36	3	14	245	77	5	3	2	3	63	1	4	82	16	0.453	0.373
2022	P	4	今宮　健太	(ソ)	0.296	130	510	450	56	133	30	0	7	184	47	3	4	19	1	37	0	3	71	14	0.409	0.352
2022	P	5	中川　圭太	(オ)	0.283	110	468	424	54	120	25	9	8	187	51	11	2	8	6	26	2	4	79	5	0.441	0.326
2022	P	6	柳田　悠岐	(ソ)	0.275	117	491	437	63	120	18	1	24	212	79	2	3	0	5	43	6	6	106	6	0.485	0.344
2022	P	7	髙部　瑛斗	(ロ)	0.274	137	608	541	66	148	16	6	3	185	38	44	10	22	3	36	1	6	103	12	0.342	0.324
2022	P	8	辰己　涼介	(楽)	0.271	120	476	409	60	111	14	3	11	164	35	12	5	13	1	42	1	11	103	7	0.401	0.354
2022	P	9	宗　佑磨	(オ)	0.271	130	537	469	55	127	23	1	5	167	43	4	5	9	6	45	2	8	81	11	0.356	0.341
2022	P	10	福田　周平	(オ)	0.268	118	502	448	65	120	11	6	0	143	24	9	7	14	0	32	0	8	50	8	0.319	0.328
2022	P	11	小深田　大翔	(楽)	0.267	118	479	424	54	113	16	5	2	145	29	21	7	12	3	37	0	3	65	6	0.342	0.328
2022	P	12	源田　壮亮	(西)	0.266	108	456	414	39	110	8	8	2	140	17	12	4	11	0	30	0	1	72	6	0.338	0.317
2022	P	13	山川　穂高	(西)	0.266	129	528	448	62	119	17	0	41	259	90	0	0	0	1	68	13	11	114	12	0.578	0.375
2022	P	14	鈴木　大地	(楽)	0.257	125	477	408	39	105	19	0	5	139	35	4	2	9	4	38	0	18	52	11	0.341	0.344
2022	P	15	中村　奨吾	(ロ)	0.257	138	596	498	52	128	31	0	12	195	68	15	6	9	9	70	3	10	86	13	0.392	0.354
2022	P	16	浅村　栄斗	(楽)	0.252	143	633	532	73	134	17	0	27	232	86	4	3	0	4	92	7	5	137	13	0.436	0.365
2022	P	17	紅林　弘太郎	(オ)	0.224	130	495	450	35	101	20	2	6	143	32	2	2	10	2	26	1	6	71	14	0.318	0.275
2022	P	18	清宮　幸太郎	(日)	0.219	129	461	406	52	89	25	3	18	174	55	4	5	2	2	45	2	6	113	6	0.429	0.305
2022	P	19	西川　遥輝	(楽)	0.218	108	451	372	58	81	17	4	7	127	37	19	8	6	2	68	0	3	103	2	0.341	0.342
2022	P	20	外崎　修汰	(西)	0.215	132	547	478	54	103	25	3	12	170	47	10	6	11	3	52	0	3	113	12	0.356	0.295
2022	P	21	オグレディ	(西)	0.213	123	465	404	42	86	24	0	15	155	46	2	1	0	2	54	3	5	129	8	0.384	0.312
2021	P	1	鈴木　誠也	(広)	0.317	132	533	435	77	138	26	0	38	278	88	9	4	0	5	87	11	6	88	7	0.639	0.433
2021	P	2	坂倉　将吾	(広)	0.315	132	484	422	58	133	24	2	12	197	68	4	3	2	5	51	1	4	60	9	0.467	0.39
2021	P	3	牧　秀悟	(デ)	0.314	137	523	487	73	153	35	3	22	260	71	2	1	1	2	27	1	6	85	16	0.534	0.356
2021	P	4	近本　光司	(神)	0.313	140	612	569	91	178	33	5	10	251	50	24	7	4	2	33	0	4	58	6	0.441	0.354
2021	P	5	桑原　将志	(デ)	0.31	135	571	519	84	161	39	2	14	246	43	12	7	4	0	44	1	4	75	12	0.474	0.369
2021	P	6	佐野　恵太	(デ)	0.303	143	615	545	73	165	34	2	17	254	72	0	1	0	4	61	1	5	73	14	0.466	0.376
2021	P	7	宮﨑　敏郎	(デ)	0.301	141	569	519	61	156	32	0	16	236	73	0	0	0	5	41	3	4	53	15	0.455	0.353
2021	P	8	小園　海斗	(広)	0.298	113	481	449	65	134	18	6	5	179	35	4	4	12	4	13	1	3	57	7	0.399	0.32
2021	P	9	大島　洋平	(中)	0.292	141	596	548	54	160	19	5	1	192	34	16	8	1	2	42	5	3	60	4	0.35	0.345
2021	P	10	西川　龍馬	(広)	0.286	137	551	504	57	144	19	1	12	201	60	3	3	4	4	37	1	2	70	14	0.399	0.335
2021	P	10	糸原　健斗	(神)	0.286	125	488	441	34	126	17	3	2	155	30	6	5	1	3	41	0	2	61	9	0.351	0.347
2021	P	12	中村　悠平	(ヤ)	0.279	123	445	377	47	105	24	0	2	135	36	0	3	14	4	46	0	4	66	10	0.358	0.36
2021	P	13	塩見　泰隆	(ヤ)	0.278	140	534	474	80	132	21	7	14	209	59	21	5	2	0	48	1	10	156	1	0.441	0.357
2021	P	14	村上　宗隆	(ヤ)	0.278	143	615	500	82	139	27	0	39	283	112	12	7	0	3	106	6	6	133	12	0.566	0.408
2021	P	15	菊池　涼介	(広)	0.277	132	542	494	64	137	23	2	16	212	60	1	5	2	3	42	2	1	86	8	0.429	0.333
2021	P	16	ビシエド	(中)	0.275	130	526	480	44	132	23	1	17	208	70	1	2	0	3	35	9	8	56	15	0.433	0.333
2021	P	17	松原　聖弥	(巨)	0.274	135	477	431	69	118	20	4	12	182	37	15	7	3	3	38	0	2	100	4	0.422	0.333
2021	P	18	中野　拓夢	(神)	0.273	135	525	466	45	127	15	4	1	153	36	30	2	20	4	29	5	6	81	6	0.328	0.321
2021	P	19	山田　哲人	(ヤ)	0.272	137	581	493	84	134	18	0	34	254	101	4	3	0	7	76	0	5	100	10	0.515	0.37
2021	P	20	坂本　勇人	(巨)	0.271	117	487	424	53	115	26	0	19	198	46	2	3	2	2	58	4	1	90	4	0.467	0.359
2021	P	21	丸　佳浩	(巨)	0.265	118	457	392	58	104	21	0	23	194	55	5	3	0	2	63	0	0	120	5	0.495	0.365
2021	P	22	岡本　和真	(巨)	0.265	143	592	521	71	138	19	1	39	276	113	1	1	0	7	57	4	7	108	16	0.53	0.341
2021	P	23	大山　悠輔	(神)	0.26	129	512	466	55	121	23	2	21	211	71	2	1	0	7	37	1	2	89	15	0.453	0.313
2021	P	24	高橋　周平	(中)	0.259	137	520	475	40	123	27	0	5	165	39	1	0	0	4	40	4	1	79	21	0.347	0.315
2021	P	25	オスナ	(ヤ)	0.258	120	495	469	42	121	24	2	13	188	60	3	0	0	2	22	2	2	80	18	0.401	0.293
2021	P	26	マルテ	(神)	0.258	128	526	446	55	115	18	1	22	201	71	0	0	0	2	74	3	4	72	16	0.451	0.367
2021	P	26	青木　宣親	(ヤ)	0.258	122	501	446	57	115	29	0	9	171	56	0	0	0	2	43	1	10	44	10	0.383	0.335
2021	P	28	京田　陽太	(中)	0.257	113	448	409	41	105	7	4	3	129	24	6	5	8	3	21	0	7	75	5	0.315	0.302
2021	P	29	サンズ	(神)	0.248	120	461	408	47	101	21	1	20	184	65	1	1	0	3	49	5	1	89	11	0.451	0.328
2021	P	30	佐藤　輝明	(神)	0.238	126	455	425	56	101	25	0	24	198	64	6	2	0	2	25	4	3	173	2	0.466	0.284
2021	P	31	ソト	(デ)	0.234	123	451	410	42	96	18	1	21	179	62	0	1	0	1	35	4	5	116	12	0.437	0.302
2021	P	32	梅野　隆太郎	(神)	0.225	130	458	404	33	91	15	3	3	121	33	8	4	6	2	41	3	5	107	14	0.3	0.303
2020	P	1	吉田　正尚	(オ)	0.35	120	492	408	55	143	22	1	14	209	64	8	5	0	4	72	17	8	29	6	0.512	0.453
2020	P	2	柳田　悠岐	(ソ)	0.342	119	515	427	90	146	23	5	29	266	86	7	2	0	3	84	8	1	103	2	0.623	0.449
2020	P	3	近藤　健介	(日)	0.34	108	467	371	56	126	31	1	5	174	60	4	0	0	5	89	3	2	72	6	0.469	0.465
2020	P	4	西川　遥輝	(日)	0.306	115	523	422	82	129	17	3	5	167	39	42	7	4	3	92	1	2	84	5	0.396	0.43
2020	P	5	鈴木　大地	(楽)	0.295	120	546	478	71	141	27	1	4	182	55	1	3	12	3	46	0	7	58	18	0.381	0.363
2020	P	6	小深田　大翔	(楽)	0.288	112	437	378	61	109	16	5	3	144	31	17	9	11	2	42	0	4	59	5	0.381	0.364
2020	P	7	渡邉　諒	(日)	0.283	117	465	414	49	117	13	4	6	156	39	4	2	5	3	43	0	0	81	9	0.377	0.348
2020	P	8	島内　宏明	(楽)	0.281	114	471	406	50	114	17	2	8	159	53	9	1	6	4	48	1	7	71	8	0.392	0.363
2020	P	9	浅村　栄斗	(楽)	0.28	120	529	432	72	121	25	0	32	242	104	1	1	0	2	91	2	4	111	15	0.56	0.408
2020	P	10	大田　泰示	(日)	0.275	115	481	455	57	125	16	1	14	185	68	3	3	0	0	25	1	1	105	11	0.407	0.314
2020	P	11	ロメロ	(楽)	0.272	103	404	356	46	97	19	2	24	192	63	0	0	0	2	38	5	8	108	8	0.539	0.354
2020	P	12	栗山　巧	(西)	0.272	111	428	372	37	101	22	0	12	159	67	0	0	0	2	53	2	1	77	10	0.427	0.362
2020	P	13	中村　晃	(ソ)	0.271	100	413	362	43	98	13	2	6	133	50	0	0	3	6	39	0	3	47	4	0.367	0.341
2020	P	14	源田　壮亮	(西)	0.27	120	518	455	67	123	14	5	1	150	21	18	8	22	2	38	0	1	80	6	0.33	0.327
2020	P	15	スパンジェンバーグ	(西)	0.268	111	445	407	51	109	26	8	15	196	57	12	2	0	2	32	0	4	150	2	0.482	0.326
2020	P	16	Ｔ－岡田	(オ)	0.256	100	377	328	36	84	18	0	16	150	55	5	3	0	5	40	1	4	87	11	0.457	0.34
2020	P	17	森　友哉	(西)	0.251	104	405	358	46	90	15	2	9	136	38	4	2	2	4	38	0	3	67	7	0.38	0.325
2020	P	18	中村　奨吾	(ロ)	0.249	120	499	422	57	105	25	0	8	154	49	6	3	15	2	52	1	8	97	6	0.365	0.341
2020	P	19	外崎　修汰	(西)	0.247	120	500	433	62	107	18	2	8	153	43	21	7	7	2	54	1	4	87	7	0.353	0.335
2020	P	20	井上　晴哉	(ロ)	0.245	113	447	376	44	92	11	0	15	148	67	0	0	0	4	59	2	8	93	11	0.394	0.356
2020	P	21	栗原　陵矢	(ソ)	0.243	118	500	440	52	107	21	3	17	185	73	5	5	11	6	38	0	5	90	7	0.42	0.307
2020	P	22	中田　翔	(日)	0.239	119	506	440	52	105	18	0	31	216	108	1	0	0	9	55	3	2	109	19	0.491	0.32
2020	P	23	マーティン	(ロ)	0.234	104	448	359	72	84	15	0	25	174	65	7	2	0	2	70	5	17	100	10	0.485	0.382
2020	P	24	松田　宣浩	(ソ)	0.228	116	431	395	36	90	16	3	13	151	46	1	0	0	3	32	0	1	76	2	0.382	0.285
2020	P	25	安田　尚憲	(ロ)	0.221	113	460	393	32	87	19	1	6	126	54	2	1	0	4	62	1	1	106	10	0.321	0.326
2020	P	26	山川　穂高	(西)	0.205	102	401	322	47	66	7	0	24	145	73	0	0	0	2	64	4	13	100	6	0.45	0.357
2019	P	1	森　友哉	(西)	0.329	135	573	492	96	162	34	2	23	269	105	3	2	1	6	72	3	2	89	9	0.547	0.413
2019	P	2	吉田　正尚	(オ)	0.322	143	610	521	92	168	24	2	29	283	85	5	1	0	5	79	12	5	64	12	0.543	0.413
2019	P	3	荻野　貴司	(ロ)	0.315	125	569	508	76	160	35	7	10	239	46	28	10	9	4	40	1	8	56	4	0.47	0.371
2019	P	4	銀次	(楽)	0.304	141	590	529	56	161	24	1	5	202	56	2	5	4	1	52	2	4	58	19	0.382	0.37
2019	P	5	秋山　翔吾	(西)	0.303	143	678	590	112	179	31	4	20	278	62	12	8	0	1	78	2	9	108	8	0.471	0.392
2019	P	6	近藤　健介	(日)	0.302	138	600	490	74	148	32	5	2	196	59	1	4	0	5	103	3	2	81	11	0.4	0.422
2019	P	7	大田　泰示	(日)	0.289	132	594	557	79	161	28	1	20	251	77	6	2	0	5	27	4	5	111	22	0.451	0.325
2019	P	8	鈴木　大地	(ロ)	0.288	140	614	527	76	152	34	4	15	239	68	3	1	13	2	56	0	16	75	11	0.454	0.373
2019	P	9	西川　遥輝	(日)	0.288	142	651	548	88	158	26	6	5	211	41	19	5	8	0	93	2	2	111	5	0.385	0.393
2019	P	10	島内　宏明	(楽)	0.287	133	585	506	68	145	21	5	10	206	57	3	4	9	1	58	0	11	65	11	0.407	0.372
2019	P	11	中村　剛也	(西)	0.286	135	557	496	69	142	30	0	30	262	123	2	1	0	3	54	5	4	123	12	0.528	0.359
2019	P	12	茂木　栄五郎	(楽)	0.282	141	648	568	86	160	28	6	13	239	55	7	5	9	2	66	1	3	121	7	0.421	0.358
2019	P	13	源田　壮亮	(西)	0.274	135	609	540	90	148	23	6	2	189	41	30	9	25	3	40	0	1	67	9	0.35	0.324
2019	P	14	外崎　修汰	(西)	0.274	143	621	533	96	146	27	6	26	263	90	22	6	14	6	63	0	5	132	9	0.493	0.353
2019	P	15	浅村　栄斗	(楽)	0.263	143	635	529	93	139	26	2	33	268	92	1	1	0	9	93	9	4	162	12	0.507	0.372
2019	P	16	渡邉　諒	(日)	0.262	132	543	481	60	126	16	5	11	185	58	0	2	3	5	48	0	6	120	8	0.385	0.333
2019	P	17	ブラッシュ	(楽)	0.261	128	527	426	66	111	20	0	33	230	95	2	3	0	3	81	2	17	157	7	0.54	0.397
2019	P	18	松田　宣浩	(ソ)	0.26	143	576	534	64	139	25	2	30	258	76	5	3	2	4	33	4	3	115	14	0.483	0.305
2019	P	19	甲斐　拓也	(ソ)	0.26	137	454	377	42	98	15	0	11	146	43	9	4	23	3	50	0	1	114	9	0.387	0.346
2019	P	20	デスパイネ	(ソ)	0.259	130	519	448	61	116	9	0	36	233	88	0	1	0	3	63	1	5	119	6	0.52	0.355
2019	P	21	内川　聖一	(ソ)	0.256	137	535	500	49	128	21	0	12	185	41	3	0	1	4	28	4	2	49	16	0.37	0.296
2019	P	22	山川　穂高	(西)	0.256	143	626	524	93	134	20	0	43	283	120	1	0	0	3	86	8	13	142	13	0.54	0.372
2019	P	23	栗山　巧	(西)	0.252	123	466	409	35	103	21	0	7	145	54	0	0	3	3	48	2	3	100	13	0.355	0.333
2019	P	24	井上　晴哉	(ロ)	0.252	129	509	429	60	108	16	1	24	198	65	0	0	0	3	67	1	9	98	10	0.462	0.362
2019	P	25	金子　侑司	(西)	0.251	133	524	463	60	116	8	1	3	135	33	41	10	6	3	49	1	3	81	3	0.292	0.324
2019	P	26	福田　周平	(オ)	0.25	135	583	492	65	123	13	5	2	152	38	30	14	19	2	62	0	8	57	7	0.309	0.342
2019	P	27	レアード	(ロ)	0.248	139	553	487	59	121	18	0	32	235	89	0	0	0	3	55	2	8	128	18	0.483	0.333
2019	P	28	ウィーラー	(楽)	0.243	117	472	411	53	100	15	0	19	172	67	3	5	0	10	43	0	8	96	22	0.418	0.32
2019	P	29	中田　翔	(日)	0.242	124	514	450	55	109	21	0	24	202	80	0	0	0	4	55	4	5	83	16	0.449	0.329
2019	P	30	中村　奨吾	(ロ)	0.232	143	586	512	68	119	22	0	17	192	59	12	6	6	3	53	2	12	96	10	0.375	0.317
2018	P	1	柳田　悠岐	(ソ)	0.352	130	550	475	95	167	29	5	36	314	102	21	7	0	5	62	4	8	105	8	0.661	0.431
2018	P	2	秋山　翔吾	(西)	0.323	143	685	603	107	195	39	8	24	322	82	15	10	0	1	77	4	4	96	3	0.534	0.403
2018	P	3	近藤　健介	(日)	0.323	129	555	462	59	149	29	3	9	211	69	5	0	0	5	87	8	1	90	16	0.457	0.427
2018	P	4	吉田　正尚	(オ)	0.321	143	598	514	77	165	37	2	26	284	86	3	1	0	8	69	10	7	74	9	0.553	0.403
2018	P	5	浅村　栄斗	(西)	0.31	143	640	565	104	175	27	0	32	298	127	4	2	0	5	68	4	2	105	18	0.527	0.383
2018	P	6	中村　晃	(ソ)	0.292	136	580	506	57	148	28	1	14	220	57	1	1	3	6	60	4	5	68	5	0.435	0.369
2018	P	7	井上　晴哉	(ロ)	0.292	133	548	476	59	139	26	2	24	241	99	1	0	0	6	63	0	3	106	7	0.506	0.374
2018	P	8	島内　宏明	(楽)	0.292	103	453	394	53	115	16	3	11	170	53	11	5	3	3	47	0	6	45	10	0.431	0.373
2018	P	9	外崎　修汰	(西)	0.287	119	510	453	70	130	24	3	18	214	67	25	9	6	1	47	0	3	102	9	0.472	0.357
2018	P	10	中村　奨吾	(ロ)	0.284	143	639	552	82	157	30	3	8	217	57	39	15	0	5	60	2	22	94	11	0.393	0.374
2018	P	11	山川　穂高	(西)	0.281	143	647	541	115	152	24	1	47	319	124	0	0	0	2	88	2	16	138	5	0.59	0.396
2018	P	12	西川　遥輝	(日)	0.278	140	636	528	90	147	25	6	10	214	48	44	3	7	2	96	1	3	103	1	0.405	0.391
2018	P	13	源田　壮亮	(西)	0.278	143	666	594	92	165	27	9	4	222	57	34	8	14	6	48	0	4	101	7	0.374	0.333
2018	P	14	銀次	(楽)	0.276	139	552	492	45	136	16	5	5	177	48	1	1	6	2	48	3	4	47	7	0.36	0.344
2018	P	15	今江　年晶	(楽)	0.276	127	465	421	44	116	17	2	10	167	49	0	3	0	4	32	5	7	76	19	0.397	0.334
2018	P	16	森　友哉	(西)	0.275	136	552	473	67	130	34	2	16	216	80	7	2	0	7	70	2	2	105	3	0.457	0.366
2018	P	17	上林　誠知	(ソ)	0.27	143	608	551	88	149	26	14	22	269	62	13	4	17	3	30	4	7	117	2	0.488	0.315
2018	P	18	鈴木　大地	(ロ)	0.266	143	558	477	44	127	27	6	8	190	49	8	4	14	6	44	2	17	55	11	0.398	0.346
2018	P	19	角中　勝也	(ロ)	0.265	112	470	411	44	109	23	2	7	157	57	3	3	0	6	48	2	5	63	9	0.382	0.345
2018	P	20	中田　翔	(日)	0.265	140	599	540	61	143	32	0	25	250	106	0	1	0	13	43	1	3	81	24	0.463	0.316
2018	P	21	田中　和基	(楽)	0.265	105	465	423	67	112	11	1	18	179	45	21	6	4	1	37	0	0	101	4	0.423	0.323
2018	P	22	中島　卓也	(日)	0.261	132	449	391	57	102	11	3	1	122	23	29	5	22	1	35	0	0	88	4	0.312	0.321
2018	P	23	松田　宣浩	(ソ)	0.248	143	580	517	72	128	21	3	32	251	82	3	3	0	3	56	4	4	113	12	0.485	0.324
2018	P	24	田村　龍弘	(ロ)	0.239	143	476	415	32	99	14	7	3	136	35	3	3	16	2	40	1	3	68	13	0.328	0.309
2018	P	25	デスパイネ	(ソ)	0.238	116	469	407	62	97	15	1	29	201	74	0	0	0	3	55	4	4	93	13	0.494	0.333
2018	P	26	ロメロ	(オ)	0.237	119	501	443	63	105	18	1	25	200	63	7	2	0	6	42	2	10	114	10	0.451	0.313
2018	P	27	レアード	(日)	0.233	120	505	450	47	105	14	2	26	201	65	0	1	0	4	44	5	7	124	10	0.447	0.309
2018	P	28	藤岡　裕大	(ロ)	0.23	143	611	535	58	123	15	5	5	163	42	14	13	26	1	44	1	5	97	9	0.305	0.294
2018	P	29	安達　了一	(オ)	0.219	140	514	465	44	102	12	3	3	129	41	20	5	16	5	25	1	3	64	8	0.277	0.261
2017	P	1	秋山　翔吾	(西)	0.322	143	659	575	106	185	38	5	25	308	89	16	5	0	7	72	1	5	97	4	0.536	0.398
2017	P	2	柳田　悠岐	(ソ)	0.31	130	551	448	95	139	30	1	31	264	99	14	7	0	7	89	8	7	123	6	0.589	0.426
2017	P	3	茂木　栄五郎	(楽)	0.296	103	450	398	64	118	25	2	17	198	47	3	2	4	1	45	1	2	84	4	0.497	0.37
2017	P	4	西川　遥輝	(日)	0.296	138	623	541	82	160	26	6	9	225	44	39	5	6	3	69	0	4	103	6	0.416	0.378
2017	P	5	銀次	(楽)	0.293	143	590	529	55	155	30	0	3	194	60	2	1	1	2	56	1	2	74	11	0.367	0.362
2017	P	6	浅村　栄斗	(西)	0.291	143	633	574	78	167	34	1	19	260	99	5	1	1	6	44	0	8	96	17	0.453	0.347
2017	P	7	中島　宏之	(オ)	0.285	124	489	431	36	123	19	0	9	169	49	0	0	0	5	46	0	7	93	11	0.392	0.36
2017	P	8	ペゲーロ	(楽)	0.281	120	517	463	67	130	17	1	26	227	75	3	2	0	0	50	3	4	139	16	0.49	0.356
2017	P	9	小谷野　栄一	(オ)	0.277	130	506	470	41	130	14	1	6	164	47	0	0	3	2	28	0	3	60	13	0.349	0.32
2017	P	10	松本　剛	(日)	0.274	115	448	402	46	110	17	0	5	142	33	6	3	21	1	21	1	3	61	7	0.353	0.314
2017	P	11	ウィーラー	(楽)	0.271	142	605	542	75	147	27	0	31	267	82	7	3	0	3	50	4	10	98	14	0.493	0.342
2017	P	12	中村　晃	(ソ)	0.27	143	600	511	66	138	19	2	6	179	42	3	5	14	5	67	0	3	57	5	0.35	0.355
2017	P	13	源田　壮亮	(西)	0.27	143	647	575	85	155	18	10	3	202	57	37	10	26	4	36	0	6	100	5	0.351	0.317
2017	P	14	角中　勝也	(ロ)	0.269	110	452	383	44	103	17	4	8	152	44	6	1	1	2	62	4	4	44	6	0.397	0.375
2017	P	15	Ｔ－岡田	(オ)	0.266	143	593	504	77	134	19	0	31	246	68	2	1	0	1	83	1	5	141	10	0.488	0.374
2017	P	16	島内　宏明	(楽)	0.265	143	577	494	62	131	14	3	14	193	47	3	6	12	3	64	0	4	67	8	0.391	0.352
2017	P	17	今宮　健太	(ソ)	0.264	141	623	526	78	139	27	7	14	222	64	15	4	52	3	38	0	4	93	12	0.422	0.317
2017	P	18	松田　宣浩	(ソ)	0.264	143	577	531	64	140	19	6	24	243	71	5	2	0	2	43	2	1	128	16	0.458	0.319
2017	P	19	デスパイネ	(ソ)	0.262	136	545	478	66	125	15	0	35	245	103	3	1	0	3	59	2	5	119	14	0.513	0.347
2017	P	20	上林　誠知	(ソ)	0.26	134	453	415	54	108	23	5	13	180	51	12	12	10	2	24	2	2	96	3	0.434	0.302
2017	P	21	鈴木　大地	(ロ)	0.26	143	588	508	56	132	27	5	11	202	52	6	5	3	4	55	1	18	85	7	0.398	0.35
2017	P	22	外崎　修汰	(西)	0.258	135	489	438	65	113	22	3	10	171	48	23	3	10	3	33	0	5	109	4	0.39	0.315
2017	P	23	大田　泰示	(日)	0.258	118	457	427	41	110	21	1	15	178	46	5	2	0	2	28	0	0	88	14	0.417	0.302
2017	P	24	アマダー	(楽)	0.237	121	460	417	35	99	9	0	23	177	65	0	1	0	2	39	0	2	102	18	0.424	0.304
2017	P	25	レアード	(日)	0.229	137	571	503	56	115	18	1	32	231	90	0	0	0	7	54	0	7	125	18	0.459	0.308
2017	P	26	中村　剛也	(西)	0.217	115	486	415	69	90	14	0	27	185	79	1	0	0	6	61	1	4	118	12	0.446	0.319
2017	P	27	中田　翔	(日)	0.216	129	542	472	56	102	23	0	16	173	67	0	1	0	4	61	0	5	103	14	0.367	0.31
2016	P	1	角中　勝也	(ロ)	0.339	143	607	525	74	178	30	5	8	242	69	12	4	2	6	68	6	6	64	8	0.461	0.417
2016	P	2	西川　遥輝	(日)	0.314	138	593	493	76	155	18	4	5	196	43	41	5	22	2	73	0	3	113	0	0.398	0.405
2016	P	3	浅村　栄斗	(西)	0.309	143	611	557	73	172	40	0	24	284	82	8	6	3	6	38	0	7	108	18	0.51	0.357
2016	P	4	糸井　嘉男	(オ)	0.306	143	616	532	79	163	24	1	17	240	70	53	17	0	2	75	5	7	84	13	0.451	0.398
2016	P	5	柳田　悠岐	(ソ)	0.306	120	536	428	82	131	31	4	18	224	73	23	2	0	0	100	2	8	97	8	0.523	0.446
2016	P	6	内川　聖一	(ソ)	0.304	141	605	556	62	169	19	0	18	242	106	3	2	0	9	38	2	2	53	27	0.435	0.345
2016	P	7	秋山　翔吾	(西)	0.296	143	671	578	98	171	32	4	11	244	62	18	6	0	6	77	2	10	103	2	0.422	0.385
2016	P	8	陽　岱鋼	(日)	0.293	130	555	495	66	145	24	1	14	213	61	5	6	7	1	42	1	10	121	10	0.43	0.359
2016	P	9	中村　晃	(ソ)	0.287	143	612	488	69	140	21	1	7	184	50	6	5	9	4	99	4	12	53	8	0.377	0.416
2016	P	10	鈴木　大地	(ロ)	0.285	143	583	501	62	143	30	2	6	195	61	3	1	16	7	50	2	9	56	9	0.389	0.356
2016	P	11	Ｔ－岡田	(オ)	0.284	123	513	454	56	129	25	0	20	214	76	5	1	0	5	47	5	7	105	12	0.471	0.357
